Date,First35
2026-04-29,Down
2026-04-30,Down
2026-05-01,Up
2026-05-04,Down
2026-05-05,Up
2026-05-06,Unknown
2026-05-07,Down
2026-05-08,Up
2026-05-11,Up
2026-05-12,Down
2026-05-13,Down
2026-05-14,Up
2026-05-15,Down
2026-05-18,Down
2026-05-19,Up
2026-05-20,Up
2026-05-21,Unknown
2026-05-22,Up
2026-05-26,Down
2026-05-27,Down
2026-05-28,Unknown
2026-05-29,Up
2026-06-01,Up
2026-06-02,Down
2026-06-03,Unknown
2026-06-04,Unknown
2026-06-05,Unknown
2026-06-08,Unknown
2026-06-09,Down
2026-06-10,Unknown
2026-06-11,Down
2026-06-12,Down
2026-06-15,Up
2026-06-16,Down
2026-06-17,Down
2026-06-18,Down
2026-06-22,Unknown
2026-06-23,Unknown
2026-06-24,Unknown
2026-06-25,Unknown
2026-06-26,Down
2026-06-29,Unknown
2026-06-30,Up
2026-07-01,Down
2026-07-02,Unknown
2026-07-06,Unknown
2026-07-07,Unknown
2026-07-08,Up
2026-07-09,Unknown
2026-07-10,Up
