Date,First35,ImpulseMFE,ImpulseMAE
2026-04-29,Down,47.5,168.5
2026-04-30,Down,293.0,165.75
2026-05-01,Up,249.5,49.75
2026-05-04,Down,206.75,121.25
2026-05-05,Up,164.75,52.5
2026-05-06,Unknown,,
2026-05-07,Down,163.0,229.75
2026-05-08,Up,427.5,54.0
2026-05-11,Up,139.75,93.5
2026-05-12,Down,436.0,118.0
2026-05-13,Down,176.5,314.0
2026-05-14,Up,270.75,52.75
2026-05-15,Down,153.25,243.75
2026-05-18,Down,488.5,53.0
2026-05-19,Up,241.25,222.25
2026-05-20,Up,288.0,100.25
2026-05-21,Unknown,,
2026-05-22,Up,134.0,124.75
2026-05-26,Down,41.0,251.0
2026-05-27,Down,275.0,39.5
2026-05-28,Unknown,,
2026-05-29,Up,118.75,147.25
2026-06-01,Up,315.0,86.0
2026-06-02,Down,98.25,199.25
2026-06-03,Unknown,,
2026-06-04,Unknown,,
2026-06-05,Unknown,,
2026-06-08,Unknown,,
2026-06-09,Down,1474.25,146.25
2026-06-10,Unknown,,
2026-06-11,Down,140.75,826.0
2026-06-12,Down,231.0,299.0
2026-06-15,Up,246.75,63.5
2026-06-16,Down,475.25,111.5
2026-06-17,Down,568.0,54.75
2026-06-18,Down,168.5,223.75
2026-06-22,Unknown,,
2026-06-23,Unknown,,
2026-06-24,Unknown,,
2026-06-25,Unknown,,
2026-06-26,Down,146.0,388.5
2026-06-29,Unknown,,
2026-06-30,Up,517.75,49.0
2026-07-01,Down,146.75,155.75
2026-07-02,Unknown,,
2026-07-06,Unknown,,
2026-07-07,Unknown,,
2026-07-08,Up,262.25,203.75
2026-07-09,Unknown,,
2026-07-10,Up,208.0,194.75
