Date,First50,ImpulseMFE,ImpulseMAE
2026-04-29,Down,32.5,183.5
2026-04-30,Down,278.0,180.75
2026-05-01,Up,234.5,64.75
2026-05-04,Up,36.25,291.75
2026-05-05,Up,149.75,19.0
2026-05-06,Unknown,,
2026-05-07,Up,144.75,248.0
2026-05-08,Up,412.5,69.0
2026-05-11,Up,124.75,108.5
2026-05-12,Down,421.0,133.0
2026-05-13,Down,161.5,329.0
2026-05-14,Up,255.75,67.75
2026-05-15,Down,138.25,258.75
2026-05-18,Down,473.5,68.0
2026-05-19,Up,226.25,237.25
2026-05-20,Up,273.0,115.25
2026-05-21,Up,288.5,138.5
2026-05-22,Up,119.0,139.75
2026-05-26,Down,26.0,266.0
2026-05-27,Down,260.0,54.5
2026-05-28,Up,241.5,182.75
2026-05-29,Up,103.75,162.25
2026-06-01,Up,300.0,101.0
2026-06-02,Down,83.25,214.25
2026-06-03,Up,3.0,308.75
2026-06-04,Unknown,,
2026-06-05,Up,14.75,1111.5
2026-06-08,Unknown,,
2026-06-09,Down,1459.25,161.25
2026-06-10,Unknown,,
2026-06-11,Down,125.75,841.0
2026-06-12,Down,216.0,314.0
2026-06-15,Up,231.75,78.5
2026-06-16,Down,460.25,126.5
2026-06-17,Down,553.0,69.75
2026-06-18,Down,153.5,238.75
2026-06-22,Unknown,,
2026-06-23,Unknown,,
2026-06-24,Unknown,,
2026-06-25,Down,807.5,89.75
2026-06-26,Down,131.0,403.5
2026-06-29,Unknown,,
2026-06-30,Up,502.75,64.0
2026-07-01,Down,131.75,170.75
2026-07-02,Unknown,,
2026-07-06,Unknown,,
2026-07-07,Unknown,,
2026-07-08,Up,247.25,218.75
2026-07-09,Down,81.75,297.25
2026-07-10,Up,193.0,209.75
